Dia;Novos usuários;Recorrentes;Total
02/08/2023;48;8;56
03/08/2023;61;19;80
04/08/2023;69;30;99
05/08/2023;87;22;109
06/08/2023;72;34;106
07/08/2023;67;44;111
08/08/2023;92;41;133
09/08/2023;90;48;138
10/08/2023;104;47;151
11/08/2023;62;50;112
12/08/2023;44;31;75
13/08/2023;73;38;111
14/08/2023;36;37;73
15/08/2023;46;33;79
16/08/2023;37;26;63
17/08/2023;39;34;73
18/08/2023;35;39;74
19/08/2023;64;48;112
20/08/2023;65;44;109
21/08/2023;50;43;93
22/08/2023;64;34;98
23/08/2023;60;45;105
24/08/2023;85;52;137
25/08/2023;64;75;139
26/08/2023;80;59;139
27/08/2023;52;55;107
28/08/2023;41;55;96
29/08/2023;50;34;84
30/08/2023;59;48;107
31/08/2023;100;64;164
01/09/2023;68;77;145
02/09/2023;40;47;87
03/09/2023;66;57;123
04/09/2023;35;48;83
05/09/2023;44;46;90
06/09/2023;51;41;92
07/09/2023;42;35;77
08/09/2023;46;37;83
09/09/2023;36;20;56
10/09/2023;33;23;56
11/09/2023;27;43;70
12/09/2023;57;36;93
13/09/2023;43;41;84
14/09/2023;53;53;106
15/09/2023;102;71;173
16/09/2023;92;50;142
17/09/2023;42;33;75
18/09/2023;56;39;95
19/09/2023;63;56;119
20/09/2023;50;45;95
21/09/2023;48;67;115
22/09/2023;44;45;89
23/09/2023;43;33;76
24/09/2023;40;22;62
25/09/2023;44;40;84
26/09/2023;49;51;100
27/09/2023;94;54;148
28/09/2023;60;74;134
29/09/2023;45;47;92
30/09/2023;52;48;100
01/10/2023;42;33;75
02/10/2023;46;37;83
03/10/2023;49;47;96
04/10/2023;76;34;110
05/10/2023;91;81;172
06/10/2023;68;62;130
07/10/2023;60;36;96
08/10/2023;61;45;106
09/10/2023;50;46;96
10/10/2023;36;24;60
11/10/2023;39;40;79
12/10/2023;37;31;68
13/10/2023;35;26;61
14/10/2023;47;32;79
15/10/2023;33;28;61
16/10/2023;33;34;67
17/10/2023;42;40;82
18/10/2023;41;37;78
19/10/2023;59;39;98
20/10/2023;65;57;122
21/10/2023;47;35;82
22/10/2023;40;45;85
23/10/2023;65;52;117
24/10/2023;44;38;82
25/10/2023;100;95;195
26/10/2023;61;64;125
27/10/2023;59;47;106
28/10/2023;164;49;213
29/10/2023;43;31;74
30/10/2023;85;44;129
31/10/2023;97;57;154
01/11/2023;70;41;111
02/11/2023;61;41;102
03/11/2023;77;52;129
04/11/2023;208;172;380
05/11/2023;153;109;262
06/11/2023;136;89;225
07/11/2023;119;69;188
08/11/2023;126;74;200
09/11/2023;122;80;202
10/11/2023;126;68;194
11/11/2023;121;74;195
12/11/2023;84;47;131
13/11/2023;90;55;145
14/11/2023;110;77;187
15/11/2023;117;72;189
16/11/2023;99;57;156
17/11/2023;87;54;141
18/11/2023;73;44;117
19/11/2023;85;53;138
20/11/2023;51;41;92
21/11/2023;50;34;84
22/11/2023;60;55;115
23/11/2023;78;61;139
24/11/2023;59;38;97
25/11/2023;63;62;125
26/11/2023;59;53;112
27/11/2023;58;60;118
28/11/2023;53;52;105
29/11/2023;79;71;150
30/11/2023;68;62;130
01/12/2023;65;48;113
02/12/2023;44;41;85
03/12/2023;64;49;113
04/12/2023;88;55;143
05/12/2023;118;65;183
06/12/2023;99;56;155
07/12/2023;106;63;169
08/12/2023;95;55;150
09/12/2023;128;103;231
10/12/2023;208;158;366
11/12/2023;97;45;142
